Marriages and Crude marriage rate
Catalonia. 
Units: Number.
Source: Idescat. Marriages Statistics.
"(..) Confidential data, low reliability or not available."
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=anuals&n=10339&lang=en
,Value,"Rate per 1,000 inhabitants",Variation (%)
2017,29335,3.90,-0.1
2016,29355,3.93,6.4
2015,27592,3.71,2.9
2014,26823,3.61,3.0
2013,26044,3.49,-4.8
2012,27358,3.65,5.9
2011,25832,3.44,-5.0
2010,27178,3.63,-1.2
2009,27504,3.70,-9.5
2008,30400,4.13,1.4
2007,29993,4.15,-2.7
2006,30819,4.36,-1.0
2005,31141,4.46,-2.8
2004,32035,4.73,3.8
2003,30853,4.66,-0.6
2002,31052,4.79,2.0
2001,30442,4.81,-3.9
2000,31665,5.10,3.0
1999,30748,4.99,-2.5
1998,31544,5.14,5.6
1997,29883,4.88,-0.2
1996,29939,4.90,-2.6
1995,30745,5.04,2.3
1994,30044,4.92,-0.1
1993,30068,4.93,-6.4
1992,32107,5.27,-1.2
1991,32491,5.34,2.2
1990,31790,5.24,..
Marriages and Crude marriage rate
Spain. 
Units: Number.
Source: INE. Marriages Statistics.
"(..) Confidential data, low reliability or not available."
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=anuals&n=10339&lang=en
,Value,"Rate per 1,000 inhabitants",Variation (%)
2017,173625,3.68,-1.0
2016,175343,3.72,3.8
2015,168910,3.59,3.9
2014,162554,3.45,3.9
2013,156446,3.28,-7.2
2012,168556,3.56,3.2
2011,163338,3.46,-4.2
2010,170440,3.67,-3.8
2009,177144,3.82,-10.2
2008,197216,4.23,-3.7
2007,204772,4.47,-1.4
2006,207766,4.62,-0.8
2005,209415,4.82,-3.1
2004,216149,5.06,1.8
2003,212300,5.05,0.4
2002,211522,5.12,1.7
2001,208057,5.11,-3.9
2000,216451,5.38,4.0
1999,208129,5.21,0.5
1998,207041,5.21,5.4
1997,196499,4.96,1.2
1996,194084,4.92,-3.3
1995,200688,5.10,0.5
1994,199731,5.08,-0.9
1993,201463,5.14,-7.4
1992,217512,5.57,-0.3
1991,218121,5.60,-1.1
1990,220533,5.68,..

