Mean age at first marriage
Catalonia. 
Units: Years.
Source: Idescat. Marriages Statistics.
Note: Different sex marriages until 2011 and all marriages from 2012.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=anuals&n=10340&lang=en
,Men,Women,Difference between men-women
2017,35.21,33.25,1.96
2016,35.09,33.15,1.93
2015,34.68,32.65,2.03
2014,34.27,32.29,1.98
2013,34.08,32.14,1.94
2012,33.69,31.75,1.94
2011,33.01,31.81,1.20
2010,32.66,31.44,1.22
2009,32.38,31.04,1.34
2008,32.15,30.64,1.52
2007,31.89,30.15,1.73
2006,31.74,29.94,1.79
2005,31.59,29.50,2.09
2004,31.23,29.16,2.08
2003,30.74,28.76,1.99
2002,30.34,28.37,1.98
2001,30.12,28.15,1.98
2000,29.76,27.80,1.96
1999,29.65,27.62,2.03
1998,29.53,27.58,1.94
1997,29.40,27.45,1.96
1996,29.19,27.17,2.03
1995,28.76,26.86,1.90
1994,28.65,26.73,1.92
1993,28.37,26.40,1.97
1992,28.06,26.08,1.98
1991,27.83,25.82,2.01
1986,26.55,24.47,2.08
1981,25.70,23.38,2.32
1975,26.14,23.68,2.46
Mean age at first marriage
Spain. 
Units: Years.
Source: INE. Marriages Statistics.
Note: Different sex marriages until 2011 and all marriages from 2012.
"(..) Confidential data, low reliability or not available."
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=anuals&n=10340&lang=en
,Men,Women,Difference between men-women
2017,..,..,..
2016,35.04,32.93,2.11
2015,34.81,32.66,2.15
2014,34.42,32.28,2.14
2013,34.32,32.17,2.15
2012,33.83,31.69,2.14
2011,33.59,31.43,2.16
2010,33.23,31.01,2.22
2009,32.85,30.57,2.28
2008,32.42,30.18,2.24
2007,32.00,29.82,2.18
2006,31.78,29.61,2.17
2005,31.50,29.40,2.10
2004,31.20,29.20,2.00
2003,30.90,28.90,2.00
2002,30.60,28.60,2.00
2001,30.50,28.40,2.10
2000,30.20,28.10,2.10
1999,30.00,28.00,2.00
1998,29.90,27.80,2.10
1997,29.70,27.60,2.10
1996,29.10,27.20,1.90
1995,28.90,26.80,2.10
1994,28.60,26.60,2.00
1993,28.40,26.30,2.10
1992,28.10,26.00,2.10
1991,28.00,25.70,2.30
1986,26.70,24.30,2.40
1981,25.90,23.50,2.40
1975,26.50,23.90,2.60

