Marital break-ups
Catalonia. 
Value
"Source: INE. Survey of annulments, separations and divorces."
"- From 2007 onwards, are included the marital break-ups between couples of the same sex."
"- The total figures may not coincide with the sum of their disaggregation, due to the application of correction factors and the rounding up of values with decimal points."
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=anuals&n=10341&col=1&lang=en
,Annulments,Separations,Divorces,Total
2017,32,656,17532,18221
2016,66,634,17931,18632
2015,52,785,18062,18898
2014,33,818,18740,19591
2013,20,849,17715,18584
2012,26,1065,18809,19899
2011,24,1173,18602,19799
2010,15,1298,19541,20854
2009,16,1357,18143,19516
2008,22,1581,20340,21943
2007,22,1898,23846,25766
2006,31,3039,24423,27493
2005,27,11429,14856,26312
2004,37,15172,10630,25839
2003,27,14251,9446,23724
2002,30,14160,8750,22940
2001,26,12438,8284,20748
2000,24,12051,8427,20502
1999,22,11243,7820,19085
1998,28,11212,7864,19104
Marital break-ups
Spain. 
Value
"Source: INE. Survey of annulments, separations and divorces."
Notes:
"- From 2007 onwards, are included the marital break-ups between couples of the same sex."
"- The total figures may not coincide with the sum of their disaggregation, due to the application of correction factors and the rounding up of values with decimal points."
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=anuals&n=10341&col=1&lang=en
,Annulments,Separations,Divorces,Total
2017,100,4280,97960,102341
2016,117,4353,96824,101294
2015,144,4652,96562,101357
2014,113,5034,100746,105893
2013,110,4900,95427,100437
2012,133,6369,104262,110764
2011,132,6915,103604,110651
2010,140,7248,102933,110321
2009,127,7680,98359,106166
2008,142,8761,110036,118939
2007,150,11583,125777,137510
2006,174,18793,126952,145919
2005,168,64028,72848,137044
2004,197,81618,50974,132789
2003,198,76520,45448,122166
2002,186,73567,41621,115374
2001,148,66144,39242,105534
2000,114,61617,37743,99474
1999,108,58137,36101,94346
1998,113,56928,35834,92875

